id_match,home_team,hometeam_name,home_score,away_team,awayteam_name,away_score,round,played,qualified
"M001-GW1","Youssef FAR06","Youssef FAR06","","adam samoray","wydad temara","","GW1",0,""
"M001-GW2","Youssef FAR06","Youssef FAR06","","TEST","TEST","","GW2",0,""
"M001-GW3","Youssef FAR06","Youssef FAR06","","Tammarxa","Tammar 🐺","","GW3",0,""
"M001-GW4","Youssef FAR06","Youssef FAR06","","SOLO RABAT ","SOLO RABAT","","GW4",0,""
"M001-GW5","Youssef FAR06","Youssef FAR06","","sammad","samad","","GW5",0,""
"M001-GW6","Youssef FAR06","Youssef FAR06","","Wassimthereaal","SAKOUFA7 !","","GW6",0,""
"M001-GW7","Youssef FAR06","Youssef FAR06","","to9os ifri9ya","ro3b","","GW7",0,""
"M001-GW8","Youssef FAR06","Youssef FAR06","","-SHAMHAROUCH-","Oussama","","GW8",0,""
"M002-GW1","Pop","3siiiila","","TEST","TEST","","GW1",0,""
"M002-GW2","adam samoray","wydad temara","","Tammarxa","Tammar 🐺","","GW2",0,""
"M002-GW3","TEST","TEST","","SOLO RABAT ","SOLO RABAT","","GW3",0,""
"M002-GW4","Tammarxa","Tammar 🐺","","sammad","samad","","GW4",0,""
"M002-GW5","SOLO RABAT ","SOLO RABAT","","Wassimthereaal","SAKOUFA7 !","","GW5",0,""
"M002-GW6","sammad","samad","","to9os ifri9ya","ro3b","","GW6",0,""
"M002-GW7","Wassimthereaal","SAKOUFA7 !","","-SHAMHAROUCH-","Oussama","","GW7",0,""
"M002-GW8","to9os ifri9ya","ro3b","","Oussama06","Ouss","","GW8",0,""
"M003-GW1","Amiiine1","3ziii noobe","","Tammarxa","Tammar 🐺","","GW1",0,""
"M003-GW2","Pop","3siiiila","","SOLO RABAT ","SOLO RABAT","","GW2",0,""
"M003-GW3","adam samoray","wydad temara","","sammad","samad","","GW3",0,""
"M003-GW4","TEST","TEST","","Wassimthereaal","SAKOUFA7 !","","GW4",0,""
"M003-GW5","Tammarxa","Tammar 🐺","","to9os ifri9ya","ro3b","","GW5",0,""
"M003-GW6","SOLO RABAT ","SOLO RABAT","","-SHAMHAROUCH-","Oussama","","GW6",0,""
"M003-GW7","sammad","samad","","Oussama06","Ouss","","GW7",0,""
"M003-GW8","Wassimthereaal","SAKOUFA7 !","","Csa","Moha","","GW8",0,""
"M004-GW1","Achraf__34","achraf","","SOLO RABAT ","SOLO RABAT","","GW1",0,""
"M004-GW2","Amiiine1","3ziii noobe","","sammad","samad","","GW2",0,""
"M004-GW3","Pop","3siiiila","","Wassimthereaal","SAKOUFA7 !","","GW3",0,""
"M004-GW4","adam samoray","wydad temara","","to9os ifri9ya","ro3b","","GW4",0,""
"M004-GW5","TEST","TEST","","-SHAMHAROUCH-","Oussama","","GW5",0,""
"M004-GW6","Tammarxa","Tammar 🐺","","Oussama06","Ouss","","GW6",0,""
"M004-GW7","SOLO RABAT ","SOLO RABAT","","Csa","Moha","","GW7",0,""
"M004-GW8","sammad","samad","","Lmziyer ","Mjinina","","GW8",0,""
"M005-GW1","aminE","boعo","","sammad","samad","","GW1",0,""
